Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,HTTP_method,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time_ms,Turn_Around_Time_ms,Referrer,User_Agent,Version_Id
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:09+00:00,52.55.197.86,-,B937358FE202C4C1,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198004.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198004.nc4,200,-,112925628,112925628,1802,168,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:12+00:00,52.55.197.86,-,AA2E5B7C14D751F3,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198005.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198005.nc4,200,-,112801647,112801647,1688,129,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:14+00:00,52.55.197.86,-,02289D9C4259F464,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198006.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198006.nc4,200,-,112848235,112848235,2480,104,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:17+00:00,52.55.197.86,-,8DDDF0325AD892AD,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198007.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198007.nc4,200,-,112892342,112892342,2411,228,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:20+00:00,52.55.197.86,-,1E8E52EFB36E6AC8,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198008.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198008.nc4,200,-,112886207,112886207,5204,302,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:26+00:00,52.55.197.86,-,0A559DF31E86B638,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198009.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198009.nc4,200,-,112973613,112973613,2581,101,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:29+00:00,52.55.197.86,-,EE9962D882825BC3,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198010.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198010.nc4,200,-,112800994,112800994,1553,79,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:31+00:00,52.55.197.86,-,1876AD57975F4B92,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198011.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198011.nc4,200,-,112842782,112842782,3824,94,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:36+00:00,52.55.197.86,-,57D5160170F7B0E4,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198012.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198012.nc4,200,-,112963456,112963456,6868,158,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:44+00:00,52.55.197.86,-,E2E4A3844BAC6AB8,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198101.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198101.nc4,200,-,112915350,112915350,4137,130,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:48+00:00,52.55.197.86,-,A5B3F6E1D1DDB67C,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198102.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198102.nc4,200,-,112773927,112773927,11148,528,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:03:00+00:00,52.55.197.86,-,C98D0CC13DB56B74,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198103.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198103.nc4,200,-,112813332,112813332,4568,429,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:03:05+00:00,52.55.197.86,-,86800CF392817818,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198104.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198104.nc4,200,-,112918636,112918636,3215,146,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:03:10+00:00,52.55.197.86,-,E97F98889C95B720,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198105.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198105.nc4,200,-,112845365,112845365,1715,186,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:03:12+00:00,52.55.197.86,-,AA42076578CF4D21,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198106.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198106.nc4,200,-,113048651,113048651,1622,88,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:03:15+00:00,52.55.197.86,-,ECF74DEB141302B7,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198107.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198107.nc4,200,-,112781744,112781744,5256,223,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
